"Dance Spirit","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_654_20190325084610_c632cd73.jpg"
"Dave P.","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_100_20190102080956_27a7be01.jpg"
"Deep Dish","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_101_20190102080959_50eb2d5e.jpg"
"Dennis Lloyd","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_102_20190102081002_4d56e75c.jpg"
"Dermot Kennedy","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_103_20190102081005_c34f3568.jpg"
"Dillon Francis","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_104_20190102081008_2c951c88.jpg"
"Diplo","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_105_20190102081011_15e25263.jpg"
"Dirtwire","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_575_20190321064847_755a5530.jpg"
"Dj Nu-Mark","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_576_20190321064850_4fbe4b3f.jpg"
"DJ Seinfeld","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_577_20190321064853_cbff9959.jpg"
"DJ Snake","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_106_20190130032647_ca360b9d.jpg"
"Dom Dolla","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_578_20190321064856_d0696f0c.jpg"
"Dombresky","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_579_20190321064859_d7393de5.jpg"
"Dorfex Bos","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_580_20190321064902_dcff9dc7.jpg"
"Dusky","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_107_20190102090257_ccee029c.jpg"
"dvsn","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_108_20190102081018_b60069f6.jpg"
"Eagles & Butterflies","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_653_20190325084336_6ead724f.jpg"
"Easy Life","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_109_20190102082308_51be9c86.jpg"
"Elderbrook","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_581_20190321064905_21ee4581.jpg"
"Ella Mai","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_110_20190102081023_17690b1a.jpg"
"Emily King","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_111_20190102081026_88f346c8.jpg"
"Emmit Fenn","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_582_20190321064908_4460efe3.jpg"
"Escapade","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_583_20190325082613_720e9808.jpg"
"EVAN GIIA","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_584_20190321064914_bad10299.jpg"
"FISHER","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_112_20190102081029_a6ba3e4d.jpg"
"FKJ","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_113_20190102081034_94024a81.jpg"
"ford.","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_585_20190321064917_b2dff484.jpg"
"Four Tet","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_114_20190102081037_757d21e3.jpg"
"Gesaffelstein","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_115_20190102081040_04165eec.jpg"
"Golden Features","https://goevent-images.s3.amazonaws.com/coachella-2019/f3241018/web/artist_586_20190321064920_74738587.jpg"
